name,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean
"Logistic Regression (baseline, class_weight=balanced)",0.722163195920102,0.24508519003931847,0.7063267233238905,0.3639017270737047,0.7792342084013173,0.7899704834316077
Random Forest (class_weight=balanced),0.7197195070123247,0.24832642652215492,0.7355996222851747,0.3713060057197331,0.7972152858065165,0.8070131130679176
XGBoost (scale_pos_weight),0.7471313217169571,0.2597308112040742,0.6742209631728046,0.375,0.784632686124203,0.790167628314871
