name,mae,rmse,r2,cv_r2_mean,cv_r2_std
Linear Regression (baseline),1.4222486661208256,1.8554598567370495,0.37610221591570914,0.37813205156556606,0.01576842880720418
Random Forest (default),1.2597796021389873,1.6607871324470755,0.500151652898239,0.5010483539254447,0.011559063323843143
XGBoost (default),1.2604363119269117,1.656816745013588,0.5025387370818382,0.4942157314460645,0.011697931212920532
XGBoost (tuned),1.2440476437661327,1.6386397885859727,0.5133941680915244,0.5137397491127879,
