date_id,full_date,year,quarter,month,month_name,day,day_name
19250101,1925-01-01,1925,1,1,January,1,Thursday
19260101,1926-01-01,1926,1,1,January,1,Friday
19270101,1927-01-01,1927,1,1,January,1,Saturday
19280101,1928-01-01,1928,1,1,January,1,Sunday
19280125,1928-01-25,1928,1,1,January,25,Wednesday
19290101,1929-01-01,1929,1,1,January,1,Tuesday
19300101,1930-01-01,1930,1,1,January,1,Wednesday
19320101,1932-01-01,1932,1,1,January,1,Friday
19330101,1933-01-01,1933,1,1,January,1,Sunday
19340101,1934-01-01,1934,1,1,January,1,Monday
19360101,1936-01-01,1936,1,1,January,1,Wednesday
19370101,1937-01-01,1937,1,1,January,1,Friday
19370701,1937-07-01,1937,3,7,July,1,Thursday
19380101,1938-01-01,1938,1,1,January,1,Saturday
19390101,1939-01-01,1939,1,1,January,1,Sunday
19410101,1941-01-01,1941,1,1,January,1,Wednesday
19410321,1941-03-21,1941,1,3,March,21,Friday
19420101,1942-01-01,1942,1,1,January,1,Thursday
19430101,1943-01-01,1943,1,1,January,1,Friday
19440101,1944-01-01,1944,1,1,January,1,Saturday
19450101,1945-01-01,1945,1,1,January,1,Monday
19460101,1946-01-01,1946,1,1,January,1,Tuesday
19470101,1947-01-01,1947,1,1,January,1,Wednesday
19480101,1948-01-01,1948,1,1,January,1,Thursday
19490101,1949-01-01,1949,1,1,January,1,Saturday
19500101,1950-01-01,1950,1,1,January,1,Sunday
19510101,1951-01-01,1951,1,1,January,1,Monday
19520101,1952-01-01,1952,1,1,January,1,Tuesday
19520325,1952-03-25,1952,1,3,March,25,Tuesday
19530101,1953-01-01,1953,1,1,January,1,Thursday
19540101,1954-01-01,1954,1,1,January,1,Friday
19550101,1955-01-01,1955,1,1,January,1,Saturday
19560101,1956-01-01,1956,1,1,January,1,Sunday
19570101,1957-01-01,1957,1,1,January,1,Tuesday
19580101,1958-01-01,1958,1,1,January,1,Wednesday
19590101,1959-01-01,1959,1,1,January,1,Thursday
19600101,1960-01-01,1960,1,1,January,1,Friday
19600601,1960-06-01,1960,2,6,June,1,Wednesday
19600801,1960-08-01,1960,3,8,August,1,Monday
19601101,1960-11-01,1960,4,11,November,1,Tuesday
19610101,1961-01-01,1961,1,1,January,1,Sunday
19610905,1961-09-05,1961,3,9,September,5,Tuesday
19620101,1962-01-01,1962,1,1,January,1,Monday
19620701,1962-07-01,1962,3,7,July,1,Sunday
19630101,1963-01-01,1963,1,1,January,1,Tuesday
19630908,1963-09-08,1963,3,9,September,8,Sunday
19640101,1964-01-01,1964,1,1,January,1,Wednesday
19640723,1964-07-23,1964,3,7,July,23,Thursday
19650101,1965-01-01,1965,1,1,January,1,Friday
19660101,1966-01-01,1966,1,1,January,1,Saturday
19670101,1967-01-01,1967,1,1,January,1,Sunday
19670505,1967-05-05,1967,2,5,May,5,Friday
19680101,1968-01-01,1968,1,1,January,1,Monday
19690101,1969-01-01,1969,1,1,January,1,Wednesday
19690312,1969-03-12,1969,1,3,March,12,Wednesday
19690622,1969-06-22,1969,2,6,June,22,Sunday
19690801,1969-08-01,1969,3,8,August,1,Friday
19690915,1969-09-15,1969,3,9,September,15,Monday
19700101,1970-01-01,1970,1,1,January,1,Thursday
19700205,1970-02-05,1970,1,2,February,5,Thursday
19700604,1970-06-04,1970,2,6,June,4,Thursday
19710101,1971-01-01,1971,1,1,January,1,Friday
19710330,1971-03-30,1971,1,3,March,30,Tuesday
19720101,1972-01-01,1972,1,1,January,1,Saturday
19720401,1972-04-01,1972,2,4,April,1,Saturday
19720712,1972-07-12,1972,3,7,July,12,Wednesday
19730101,1973-01-01,1973,1,1,January,1,Monday
19730401,1973-04-01,1973,2,4,April,1,Sunday
19730415,1973-04-15,1973,2,4,April,15,Sunday
19730501,1973-05-01,1973,2,5,May,1,Tuesday
19730701,1973-07-01,1973,3,7,July,1,Sunday
19731123,1973-11-23,1973,4,11,November,23,Friday
19740101,1974-01-01,1974,1,1,January,1,Tuesday
19740208,1974-02-08,1974,1,2,February,8,Friday
19740311,1974-03-11,1974,1,3,March,11,Monday
19741120,1974-11-20,1974,4,11,November,20,Wednesday
19741220,1974-12-20,1974,4,12,December,20,Friday
19750101,1975-01-01,1975,1,1,January,1,Wednesday
19750109,1975-01-09,1975,1,1,January,9,Thursday
19750411,1975-04-11,1975,2,4,April,11,Friday
19750601,1975-06-01,1975,2,6,June,1,Sunday
19760101,1976-01-01,1976,1,1,January,1,Thursday
19760401,1976-04-01,1976,2,4,April,1,Thursday
19770101,1977-01-01,1977,1,1,January,1,Saturday
19770515,1977-05-15,1977,2,5,May,15,Sunday
19780101,1978-01-01,1978,1,1,January,1,Sunday
19790101,1979-01-01,1979,1,1,January,1,Monday
19790504,1979-05-04,1979,2,5,May,4,Friday
19790506,1979-05-06,1979,2,5,May,6,Sunday
19790801,1979-08-01,1979,3,8,August,1,Wednesday
19790901,1979-09-01,1979,3,9,September,1,Saturday
19791201,1979-12-01,1979,4,12,December,1,Saturday
19800101,1980-01-01,1980,1,1,January,1,Tuesday
19800501,1980-05-01,1980,2,5,May,1,Thursday
19800919,1980-09-19,1980,3,9,September,19,Friday
19800924,1980-09-24,1980,3,9,September,24,Wednesday
19810101,1981-01-01,1981,1,1,January,1,Thursday
