startup_id,cluster,log_funding,funding_rounds,years_since_founded,num_round_types_used,category_count
611,2,14.665084825369833,1,5.0,1,1.0
612,2,17.32705602664604,2,9.0,3,1.0
613,2,19.315134785305652,2,23.0,2,1.0
614,3,12.81584093453868,1,12.0,1,1.0
615,2,15.319587954740548,1,10.0,2,1.0
616,1,16.694709071442087,4,6.3,5,1.0
620,2,16.118095750958314,1,11.0,2,4.0
622,3,10.819798284210286,1,3.9,1,1.0
624,2,15.201805169084134,1,6.0,1,1.0
625,2,16.614276400124066,3,10.4,1,1.0
626,2,16.18763841122872,1,25.0,1,1.0
627,3,11.787286707814165,2,2.5,2,3.0
628,2,15.365402479150777,1,6.0,1,1.0
629,2,17.03797995819912,1,18.0,2,2.0
631,2,17.053349991584348,1,13.0,1,1.0
632,1,17.250787285495786,3,11.0,4,5.0
633,2,14.054528245836039,1,11.0,2,2.0
635,2,17.72753358339242,2,16.0,1,1.0
636,3,12.971542813248437,1,10.0,1,1.0
642,1,17.958903108259225,4,11.0,2,2.0
643,3,11.918397239722838,1,6.0,1,1.0
644,2,14.9958029822196,2,18.0,1,1.0
646,2,15.955576839107596,2,4.0,2,1.0
649,2,15.213115957418236,3,10.0,2,1.0
650,1,18.54908387951588,6,11.0,5,1.0
651,1,13.03305773423396,7,6.4,4,4.0
652,2,15.557001120221484,3,14.0,2,1.0
654,2,16.411578516232183,2,16.0,3,2.0
655,0,17.1654146803266,2,9.0,2,5.0
656,3,12.323860125621126,1,2.0,1,1.0
657,0,17.034386422832473,2,8.0,3,7.0
659,2,14.260197020251155,1,13.0,1,1.0
660,2,15.201805169084134,1,5.0,1,1.0
663,2,13.560619598657233,2,13.0,1,2.0
664,0,14.508658238524095,1,7.4,1,5.0
665,2,14.220976332738882,1,18.0,1,1.0
666,1,17.046512602148198,4,13.0,4,2.0
667,1,14.920767720476825,3,4.0,3,1.0
668,1,18.74696995915006,5,14.0,6,1.0
669,1,15.779979563955111,3,7.8,3,3.0
671,2,16.43967895258573,3,13.0,1,1.0
674,2,17.216707972959764,1,8.0,1,1.0
675,2,17.66352825473847,1,18.0,1,1.0
676,3,12.77280873810987,2,5.0,2,1.0
